model,n_features,accuracy,precision,recall,f1,roc_auc
with_checkout,14,0.94,0.8235294117647058,1.0,0.9032258064516129,0.9837549603174602
without_checkout,12,0.93,0.8,1.0,0.8888888888888888,0.9833829365079364
